transaction_id,transaction_datetime,amount,status,transaction_type,customer_id,platform_id,invoice_id
TXN038,2024-07-28 00:00:00,153150,Completada,Pago de Factura,38,1,38
TXN039,2024-06-05 12:00:00,86902,Pendiente,Pago de Factura,39,2,39
TXN040,2024-06-28 04:00:00,96457,Pendiente,Pago de Factura,40,1,40
TXN041,2024-06-07 20:00:00,145586,Fallida,Pago de Factura,41,2,41
TXN042,2024-07-15 19:00:00,163425,Fallida,Pago de Factura,42,1,42
TXN043,2024-07-26 02:00:00,186218,Pendiente,Pago de Factura,43,1,43
TXN044,2024-07-12 01:00:00,159000,Fallida,Pago de Factura,44,2,44
TXN045,2024-07-21 21:00:00,94554,Pendiente,Pago de Factura,45,2,45
TXN046,2024-07-26 11:00:00,152659,Fallida,Pago de Factura,46,2,46
TXN047,2024-06-05 17:00:00,165021,Pendiente,Pago de Factura,47,2,47
TXN048,2024-06-10 10:00:00,115066,Completada,Pago de Factura,48,2,48
TXN049,2024-06-03 20:00:00,161029,Completada,Pago de Factura,49,2,49
TXN050,2024-07-29 03:00:00,167924,Completada,Pago de Factura,50,1,50
TXN051,2024-07-24 19:00:00,147991,Pendiente,Pago de Factura,51,2,51
TXN052,2024-07-26 11:00:00,124048,Completada,Pago de Factura,52,1,52
TXN053,2024-07-13 23:00:00,138162,Completada,Pago de Factura,53,1,53
TXN054,2024-06-28 00:00:00,161137,Fallida,Pago de Factura,54,1,54
TXN055,2024-06-17 03:00:00,35669,Fallida,Pago de Factura,55,2,55
TXN056,2024-07-06 07:00:00,67867,Fallida,Pago de Factura,56,1,56
TXN057,2024-07-25 20:00:00,58242,Fallida,Pago de Factura,57,1,57
TXN058,2024-06-09 20:00:00,113319,Pendiente,Pago de Factura,58,1,58
TXN059,2024-07-11 23:00:00,37708,Completada,Pago de Factura,59,2,59
TXN060,2024-07-20 16:00:00,54969,Pendiente,Pago de Factura,60,1,60
TXN061,2024-07-08 23:00:00,51411,Completada,Pago de Factura,61,2,61
TXN062,2024-07-17 05:00:00,45233,Completada,Pago de Factura,62,1,62
TXN063,2024-06-10 01:00:00,99926,Fallida,Pago de Factura,63,1,63
TXN064,2024-06-20 12:00:00,31572,Completada,Pago de Factura,64,1,64
TXN065,2024-06-14 03:00:00,123720,Pendiente,Pago de Factura,65,1,65
TXN066,2024-07-29 14:00:00,17171,Fallida,Pago de Factura,66,2,66
TXN067,2024-07-23 09:00:00,56259,Fallida,Pago de Factura,67,2,67
TXN068,2024-06-20 22:00:00,196548,Fallida,Pago de Factura,68,2,68
TXN069,2024-06-20 18:00:00,93635,Completada,Pago de Factura,69,2,69
TXN070,2024-07-15 21:00:00,58585,Completada,Pago de Factura,70,2,70
TXN071,2024-06-06 18:00:00,86244,Completada,Pago de Factura,71,2,71
TXN072,2024-07-18 20:00:00,55572,Fallida,Pago de Factura,72,1,72
TXN073,2024-06-21 06:00:00,50713,Fallida,Pago de Factura,73,1,73
TXN074,2024-06-29 18:00:00,129480,Completada,Pago de Factura,74,1,74
TXN075,2024-07-03 20:00:00,41657,Completada,Pago de Factura,75,2,75
TXN076,2024-06-15 11:00:00,126084,Completada,Pago de Factura,76,2,76
TXN077,2024-06-04 07:00:00,190936,Fallida,Pago de Factura,77,1,77
TXN078,2024-06-21 21:00:00,78561,Fallida,Pago de Factura,78,1,78
TXN079,2024-07-23 11:00:00,162844,Completada,Pago de Factura,79,1,79
TXN080,2024-06-29 15:00:00,80235,Fallida,Pago de Factura,80,1,80
TXN081,2024-06-18 00:00:00,158138,Pendiente,Pago de Factura,81,2,81
TXN082,2024-06-06 15:00:00,101593,Pendiente,Pago de Factura,82,2,82
TXN083,2024-06-22 03:00:00,103741,Pendiente,Pago de Factura,83,2,83
TXN084,2024-07-04 02:00:00,41300,Pendiente,Pago de Factura,84,2,84
TXN085,2024-06-19 11:00:00,89956,Completada,Pago de Factura,85,2,85
TXN086,2024-07-13 05:00:00,165402,Completada,Pago de Factura,86,1,86
TXN087,2024-07-04 09:00:00,106689,Pendiente,Pago de Factura,87,1,87
TXN088,2024-06-14 11:00:00,22411,Completada,Pago de Factura,88,1,88
TXN089,2024-06-27 05:00:00,11359,Pendiente,Pago de Factura,89,2,89
TXN090,2024-06-08 10:00:00,79808,Pendiente,Pago de Factura,90,1,90
TXN091,2024-07-05 21:00:00,42648,Pendiente,Pago de Factura,91,1,91
TXN092,2024-06-03 05:00:00,101468,Pendiente,Pago de Factura,92,2,92
TXN093,2024-06-21 17:00:00,115488,Pendiente,Pago de Factura,93,2,93
TXN094,2024-07-26 00:00:00,61920,Completada,Pago de Factura,94,2,94
TXN095,2024-07-23 20:00:00,141510,Fallida,Pago de Factura,95,1,95
TXN096,2024-07-08 19:00:00,39792,Pendiente,Pago de Factura,96,2,96
TXN097,2024-07-09 05:00:00,87689,Completada,Pago de Factura,97,2,97
TXN098,2024-07-06 00:00:00,178739,Fallida,Pago de Factura,98,1,98
TXN099,2024-07-27 10:00:00,105611,Fallida,Pago de Factura,99,2,99
TXN100,2024-07-11 07:00:00,141787,Fallida,Pago de Factura,100,2,100
